SURNAME NAME FINAL_POINTS 
Surname10 Name8051 4.93
Surname100 Name9471 2.75
Surname100 Name6019 1.72
Surname100 Name6959 1.7
Surname1002 Name6201 3.75
Surname1005 Name4097 4.99
Surname1008 Name9174 3.8
Surname1009 Name2286 4.9
Surname1012 Name4934 2.78
Surname1018 Name8087 3.64
Surname1023 Name8322 4.7
Surname1024 Name3814 4.6
Surname1024 Name9728 4.8
Surname1025 Name8485 4.2
Surname1026 Name6806 4.85
Surname1026 Name3843 3.08
Surname103 Name9111 2.05
Surname103 Name1016 3.7
Surname1030 Name2908 2.3
Surname1031 Name1643 3.9
Surname1032 Name7135 4.82
Surname1034 Name8878 2
Surname1036 Name916 3.02
Surname1038 Name4463 4.15
Surname1039 Name8446 2.2
Surname1042 Name535 3.9
Surname1043 Name8276 4.36
Surname1049 Name7906 3.93
Surname1054 Name7348 2.05
Surname1056 Name7311 3.83
Surname1056 Name1870 3.97
Surname1056 Name4020 4.97
Surname1058 Name8873 4.09
Surname1058 Name3228 4.2
Surname1059 Name3567 2.38
Surname1059 Name4462 2.14
Surname106 Name3795 2.53
Surname1060 Name3388 2.26
Surname1065 Name5472 4.88
Surname1065 Name9136 2.35
Surname1065 Name8504 4
Surname1069 Name1479 2.7
Surname107 Name2 3.15
Surname1071 Name7440 1.9
Surname1072 Name1431 4
Surname1074 Name4069 2.66
Surname1079 Name7189 4.83
Surname108 Name9409 3.4
Surname1082 Name950 3.1
Surname1085 Name3611 4.8
Surname1086 Name4531 4.35
Surname1086 Name8154 4.15
Surname1099 Name3566 4.33
Surname1099 Name5478 3.6
Surname11 Name2729 3.25
Surname11 Name8238 3.75
Surname1102 Name3601 2.71
Surname1105 Name3317 4.33
Surname1105 Name9044 4.17
Surname1106 Name5163 2.05
Surname1108 Name7867 2.9
Surname1124 Name7070 2.6
Surname1124 Name9693 3.31
Surname1128 Name8149 3.51
Surname113 Name8585 3.5
Surname1134 Name5173 4.75
Surname1138 Name6015 4.5
Surname1138 Name6734 3.46
Surname1140 Name2317 4.13
Surname1141 Name8406 2.99
Surname1142 Name737 4.06
Surname1142 Name2328 2.75
Surname1142 Name5897 2.28
Surname1143 Name8785 4.2
Surname1146 Name1825 3.26
Surname1148 Name5034 3.9
Surname1151 Name3361 2.81
Surname1153 Name8392 3.57
Surname1155 Name9228 2
Surname1155 Name8443 2.7
Surname1156 Name2532 2.24
Surname1157 Name6503 2.7
Surname1163 Name3087 3.24
Surname1165 Name2263 4.15
Surname1167 Name6917 3.94
Surname117 Name1605 3.5
Surname117 Name9024 2.98
