SURNAME NAME FINAL_POINTS 
Surname0 Name15953 2.1
Surname10 Name38664 3.9
Surname1000 Name69687 4.85
Surname10000 Name53536 1.96
Surname10002 Name94001 3.44
Surname10005 Name74281 2.07
Surname10009 Name31978 3.35
Surname10009 Name65904 3.13
Surname10013 Name44153 4.83
Surname10015 Name60277 4.45
Surname10015 Name24437 4.82
Surname10016 Name19755 3.2
Surname10019 Name8744 3.55
Surname10020 Name46892 2.09
Surname10025 Name29340 4.91
Surname10025 Name97781 2.28
Surname10027 Name10138 1.8
Surname10029 Name39135 4.2
Surname10029 Name54816 2.43
Surname10031 Name65442 2.4
Surname10033 Name17806 1.75
Surname10036 Name53239 2.3
Surname10038 Name42235 3.81
Surname10041 Name58159 4
Surname10042 Name94937 4.48
Surname1005 Name40812 2.9
Surname10052 Name5938 2.9
Surname10053 Name2577 1.8
Surname10054 Name95013 3.38
Surname1006 Name94695 2.43
Surname10062 Name64181 4.3
Surname10063 Name98709 2.94
Surname10066 Name90928 3.8
Surname1007 Name78453 3.53
Surname10071 Name21602 4.15
Surname10073 Name61663 3.72
Surname10074 Name79348 4.94
Surname10075 Name38512 2.1
Surname10076 Name56472 4.6
Surname10078 Name24531 4.8
Surname10085 Name44585 3.45
Surname1009 Name9896 1.95
Surname10090 Name5714 3.24
Surname10092 Name36723 4.36
Surname10093 Name86508 3.63
Surname10095 Name29708 3.71
Surname10096 Name76228 4.9
Surname10098 Name72787 4.3
Surname101 Name16785 2.63
Surname10100 Name72985 2.9
Surname10103 Name88208 3.23
Surname10104 Name13472 2.94
Surname10105 Name40740 3.21
Surname10106 Name45633 2.2
Surname10107 Name27839 2.57
Surname10109 Name44253 2.88
Surname10112 Name23940 3.15
Surname10113 Name51682 3
Surname10113 Name68867 4.27
Surname10114 Name18292 2.75
Surname10119 Name16649 4.1
Surname10121 Name43269 4.13
Surname10121 Name52684 1.6
Surname10123 Name80488 2.46
Surname10126 Name26347 4.5
Surname10128 Name69106 3.43
Surname10128 Name41780 3.4
Surname10129 Name9426 4.35
Surname10131 Name55670 4.05
Surname10132 Name50455 2.1
Surname10134 Name12697 2.8
Surname10135 Name44269 2.45
Surname10142 Name12964 4.93
Surname10142 Name6071 1.45
Surname10144 Name85827 2.44
Surname10145 Name27804 2.45
Surname10145 Name15058 1.94
Surname10146 Name86168 3.69
Surname10146 Name15799 2.6
Surname10149 Name95990 2.07
Surname10151 Name58443 4.9
Surname10151 Name32345 3.1
Surname10154 Name22084 4.95
Surname10159 Name24857 4.23
Surname10164 Name30354 2.58
Surname10168 Name60863 4.12
Surname10171 Name52400 4.6
Surname10171 Name32603 3.43
Surname10172 Name48188 4.9
Surname10173 Name94844 2.73
Surname10175 Name93048 4.42
Surname10185 Name35976 2.68
Surname10188 Name26333 1.86
Surname10188 Name34956 2.78
Surname10188 Name49364 4.63
Surname10191 Name82747 2.14
Surname10191 Name36466 3.8
Surname10192 Name10552 3.63
Surname10194 Name80817 2.9
Surname10201 Name64680 2.84
Surname10204 Name7396 2.1
Surname10207 Name77501 2.5
Surname10210 Name43959 2.1
Surname10211 Name72086 1.9
Surname10212 Name17072 4.9
Surname10215 Name26482 2.35
Surname10216 Name54755 2.68
Surname10217 Name53188 3.9
Surname10217 Name29370 2.05
Surname1022 Name6442 2.77
Surname10226 Name68246 4.85
Surname10226 Name33921 4.82
Surname10229 Name82715 4.42
Surname10229 Name52351 4.85
Surname10231 Name18986 2.6
Surname10238 Name50812 4.03
Surname1024 Name3218 2.2
Surname1024 Name29383 4.2
Surname10241 Name45214 3.05
Surname10242 Name38082 2
Surname10243 Name98718 3.1
Surname10244 Name80749 2.02
Surname10245 Name30096 3.55
Surname10249 Name47564 4.78
Surname10249 Name56173 4.48
Surname10250 Name58581 1.71
Surname10251 Name81981 3.7
Surname10251 Name80082 3.09
Surname10253 Name99173 4.59
Surname10256 Name46655 1.9
Surname10257 Name25333 4.25
Surname10258 Name56772 3.45
Surname10258 Name40809 3.48
Surname10259 Name93034 4.24
Surname10261 Name48601 3.45
Surname10261 Name93055 1.75
Surname10262 Name26847 2.81
Surname10264 Name65654 2.8
Surname10268 Name33677 3.03
Surname10268 Name90648 3.45
Surname10274 Name89267 3.64
Surname10276 Name50965 3.47
Surname10279 Name33159 2.7
Surname1028 Name26148 4.53
Surname10281 Name55392 4.8
Surname10283 Name95593 1.9
Surname10286 Name38 2
Surname10287 Name96765 3.6
Surname10289 Name46449 4.49
Surname1029 Name66972 3.45
Surname10290 Name31086 2.3
Surname10291 Name16049 2.07
Surname10293 Name37297 3.7
Surname10293 Name47660 3.3
Surname10294 Name94076 2.53
Surname10298 Name14984 3.3
Surname10298 Name26981 2.5
Surname10299 Name59498 4.3
Surname10303 Name77704 3.42
Surname10306 Name77152 3.1
Surname10309 Name83501 4.48
Surname10309 Name22403 4.4
Surname1031 Name43134 2.44
Surname1031 Name71561 3.9
Surname10313 Name45445 4.53
Surname10315 Name90670 4.63
Surname10315 Name66043 3.5
Surname10317 Name65364 4.4
Surname10318 Name11669 3.46
Surname10322 Name20914 2.41
Surname10323 Name14226 2.36
Surname10330 Name77149 4.04
Surname10331 Name58551 4.66
Surname10334 Name29814 4.86
Surname10337 Name90153 2.5
Surname10337 Name20975 2.33
Surname10338 Name10377 3.5
Surname10338 Name57995 4.93
Surname1034 Name594 2.32
Surname1034 Name64168 2.3
Surname10342 Name45266 3.07
Surname10342 Name29861 3.6
Surname10343 Name34134 2.72
Surname10343 Name35236 3.24
Surname10344 Name61447 2.98
Surname10347 Name14020 2.99
Surname10349 Name12732 4
Surname10353 Name29092 2.99
Surname10357 Name53541 1.7
Surname10357 Name61860 4.92
Surname10357 Name71659 4.79
Surname10358 Name73932 4.4
Surname10358 Name61719 4.8
Surname10360 Name86653 2
Surname10362 Name96956 3.43
Surname10365 Name64419 2.6
Surname10367 Name5630 1.3
Surname10369 Name36912 2.8
Surname1037 Name88654 4.64
Surname1037 Name40434 4.55
Surname1037 Name31325 2.05
Surname10370 Name44884 4.6
Surname10370 Name68913 2.45
Surname10372 Name85707 2.72
Surname10374 Name44806 4.94
Surname10374 Name70173 4.95
Surname10375 Name15478 2.75
Surname10377 Name87190 3.51
Surname10379 Name27585 2.28
Surname1038 Name94344 4.09
Surname10384 Name32130 2.35
Surname10390 Name89726 2.9
Surname10395 Name25553 1.6
Surname10396 Name25271 4.48
Surname10397 Name38228 4.6
Surname104 Name83002 2.98
Surname10401 Name42056 3.19
Surname10401 Name77005 2.1
Surname10402 Name50133 3.64
Surname10402 Name44833 3.8
Surname1041 Name11855 3.65
Surname1041 Name82471 1.45
Surname1041 Name76253 3.1
Surname1041 Name83520 3.05
Surname1041 Name17301 4.45
Surname10410 Name50562 3.25
Surname10412 Name28817 3.39
Surname10419 Name53122 2.54
Surname1042 Name17230 2.28
Surname10420 Name5372 3.88
Surname10421 Name73027 4.25
Surname10424 Name92940 4.36
Surname10425 Name58420 3.55
Surname10428 Name70934 4
Surname10428 Name99177 3.08
Surname10429 Name97451 3
Surname1043 Name83579 4.36
