SURNAME NAME FINAL_POINTS 
Surname0 Name8222 7.39
Surname1001 Name9769 5.12
Surname1001 Name3577 7.62
Surname1002 Name6193 5.83
Surname1005 Name2813 5.4
Surname1005 Name9118 5.82
Surname1008 Name7622 7.04
Surname1009 Name1191 6.93
Surname1011 Name8648 7.56
Surname1012 Name9958 6.07
Surname1013 Name8177 7.24
Surname1019 Name3290 5.52
Surname102 Name9788 7.1
Surname102 Name4510 6.4
Surname1025 Name2986 6.03
Surname1030 Name3618 7.33
Surname1031 Name9431 5.4
Surname1034 Name7792 5.03
Surname1035 Name3627 5.9
Surname1035 Name9326 5.7
Surname1035 Name928 7.7
Surname1036 Name1995 7.44
Surname1036 Name8414 7.76
Surname1037 Name6472 7.09
Surname1038 Name3200 6.5
Surname1041 Name5213 6.71
Surname1043 Name9972 5.38
Surname1045 Name5915 5.53
Surname1047 Name5215 8.7
Surname1047 Name5615 5.15
Surname1047 Name2639 8
Surname1048 Name1866 6.06
Surname1048 Name1251 6.06
Surname1050 Name5407 5.76
Surname1051 Name7882 6
Surname1056 Name7204 7.14
Surname1056 Name124 7.75
Surname1057 Name9344 7.61
Surname1060 Name7147 8.4
Surname1062 Name4104 5.5
Surname1062 Name5322 7.2
Surname1066 Name8135 7.8
Surname1067 Name840 7.83
Surname1068 Name7605 5.44
Surname107 Name2048 7.8
Surname1073 Name1356 7.5
Surname1074 Name5632 6.67
Surname1074 Name6520 7.23
Surname108 Name6220 6.46
Surname1080 Name6147 6.6
Surname1083 Name7984 5.1
Surname1084 Name8305 8.06
Surname1086 Name1057 6.85
Surname1086 Name6035 5.51
Surname1087 Name2533 6.17
Surname1088 Name4992 7.22
Surname1089 Name1297 6
Surname1089 Name9575 7.2
Surname1091 Name3482 5.59
Surname1094 Name1913 7.97
Surname1095 Name4683 6.66
Surname1095 Name2151 6.15
Surname1097 Name4040 5.73
Surname1098 Name687 6.2
Surname1099 Name3642 7.5
Surname110 Name326 6.88
Surname1100 Name2764 7.68
Surname1100 Name3071 6.33
Surname1102 Name9416 5
Surname1103 Name1264 5.15
Surname1110 Name284 6.64
Surname1111 Name1230 7.9
Surname1112 Name2450 5.3
Surname1112 Name1939 5.23
Surname1114 Name9728 6.65
Surname1117 Name7411 5.8
Surname1119 Name8304 5.07
Surname1120 Name3544 6.97
Surname1125 Name7545 5.98
Surname1127 Name7630 5.6
Surname1127 Name8025 5.1
Surname1127 Name3337 5.85
Surname1128 Name2819 7.1
Surname1131 Name7532 5.6
Surname1132 Name1182 6.57
Surname1135 Name6358 6.03
Surname1135 Name1680 7.6
Surname1136 Name4512 8.21
Surname1137 Name790 7.76
Surname1138 Name4987 8.1
Surname1139 Name328 7.8
Surname1139 Name1954 5.76
Surname114 Name5639 6.7
Surname1140 Name7285 6.8
Surname1145 Name410 6.64
Surname1145 Name4481 7.89
Surname1148 Name6557 7.56
Surname1148 Name42 6.53
Surname115 Name9152 7.41
Surname1151 Name4084 5.48
Surname1151 Name9015 6.33
Surname1156 Name3813 6.37
Surname1156 Name8886 5.6
Surname1157 Name7703 6.25
Surname1161 Name3940 7.37
Surname1161 Name5266 7.61
Surname1162 Name8358 7.65
Surname1172 Name4806 5.7
Surname1172 Name3243 6.65
Surname1174 Name9274 5.3
Surname1175 Name4633 7.73
Surname1177 Name7192 5.57
Surname1180 Name6219 6.36
Surname1183 Name3102 7.22
Surname1183 Name4343 6.3
Surname1186 Name255 7.5
Surname1187 Name1875 6.1
Surname119 Name6121 6.7
Surname119 Name6996 7.32
Surname1196 Name4713 5.4
Surname1197 Name7584 7.18
Surname1198 Name8265 5.8
Surname1201 Name6344 5.6
Surname1202 Name7953 5.15
Surname1205 Name244 6.87
Surname1210 Name9707 5.96
Surname1210 Name2371 7.56
Surname1212 Name149 6.5
Surname1212 Name2637 6.53
Surname1213 Name2326 5.48
Surname1214 Name8660 7.19
Surname1215 Name1161 7.5
Surname1219 Name50 6.33
Surname122 Name7599 7.93
Surname122 Name823 6.45
Surname1224 Name8143 5.55
Surname1227 Name9328 6.36
Surname1228 Name2567 6.5
Surname1228 Name5663 7.18
Surname1230 Name5947 6.2
Surname1233 Name3590 6.28
Surname1234 Name4943 7.84
Surname1235 Name7801 5.26
Surname1235 Name4806 7.2
Surname1236 Name5188 7.64
Surname1237 Name9147 5.78
Surname1238 Name2968 5.63
Surname1238 Name3825 6
Surname1241 Name296 6.6
Surname1244 Name7527 7.2
Surname1246 Name2924 7.1
Surname1248 Name7129 5.15
Surname1249 Name6123 5.55
Surname1251 Name2530 5.6
Surname1252 Name6475 6.49
Surname1253 Name6829 6
Surname1255 Name2207 7
Surname126 Name638 7.95
Surname1260 Name3372 7.59
Surname1261 Name7833 5.13
Surname1261 Name1596 5.4
Surname1262 Name4655 5.4
Surname1262 Name8677 5.74
Surname1264 Name5710 8.7
Surname1266 Name487 7.13
Surname1268 Name7783 5
Surname1269 Name3527 6.33
Surname127 Name1562 5.63
Surname1271 Name5411 6.78
Surname1273 Name8095 8.14
Surname1273 Name3160 5.25
Surname1278 Name9187 7.65
Surname1281 Name7419 6.1
Surname1284 Name1631 6.6
Surname1286 Name9553 6.18
Surname1286 Name5129 7.1
Surname1287 Name3058 5.19
Surname129 Name1331 5.83
Surname129 Name3136 6
Surname1290 Name6680 6.21
Surname1292 Name1667 6.31
Surname1293 Name4735 6.12
Surname1293 Name4515 5.88
Surname1295 Name7681 7.8
Surname1297 Name563 7.18
Surname1298 Name2750 7.2
Surname1305 Name5250 5.3
Surname1307 Name9779 5
Surname1309 Name5525 7.58
Surname1310 Name3345 5.12
Surname1312 Name4535 6.85
Surname1313 Name2523 5.93
Surname1314 Name9524 7.37
Surname1314 Name6326 5.53
Surname1315 Name4308 8.6
Surname1318 Name9164 7.5
Surname1318 Name2023 5.05
Surname1324 Name6014 6.9
Surname1326 Name9615 7
Surname1331 Name7202 7.71
Surname1331 Name1891 7.52
Surname1331 Name6960 6.44
Surname1336 Name1744 8
Surname1339 Name9651 7.27
