SURNAME NAME FINAL_POINTS 
Surname10 Name93849 8.7
Surname10 Name40330 6
Surname1000 Name78785 5.35
Surname10001 Name21467 5.88
Surname10001 Name33892 6.16
Surname10007 Name18743 7.83
Surname10013 Name57927 6.83
Surname10013 Name25822 8.1
Surname10017 Name80721 5.6
Surname10017 Name61974 7.13
Surname1002 Name50444 6.51
Surname10024 Name4304 6.85
Surname10028 Name170 6.95
Surname10029 Name68839 7.4
Surname10029 Name79283 7.1
Surname10030 Name77901 5.45
Surname10032 Name27954 8.1
Surname10033 Name19706 5
Surname10036 Name92340 5.9
Surname10036 Name33043 6.1
Surname10042 Name81119 6.63
Surname10044 Name68557 6.14
Surname10046 Name90784 6.8
Surname10046 Name98394 5.1
Surname10047 Name7287 6.48
Surname10049 Name30112 6.63
Surname10049 Name50826 7.5
Surname10052 Name51360 6.87
Surname10053 Name30479 7.85
Surname10053 Name2824 5.7
Surname10055 Name52896 6.74
Surname10055 Name15473 6.51
Surname10057 Name27038 5.7
Surname10058 Name31416 7.13
Surname1006 Name71472 6.29
Surname10060 Name71601 6.4
Surname10061 Name13127 6.75
Surname10061 Name8694 5.1
Surname10063 Name35831 7.45
Surname10063 Name63063 7.8
Surname10064 Name86989 6.13
Surname10066 Name43509 6.4
Surname10068 Name6380 6.52
Surname1007 Name84191 6.34
Surname10070 Name66080 5.82
Surname10071 Name96084 5.3
Surname10073 Name3802 7.69
Surname10074 Name92863 7.65
Surname10075 Name31073 7.4
Surname10075 Name99671 5.21
Surname10081 Name17993 6.46
Surname10082 Name7011 7.8
Surname10082 Name9106 7.07
Surname10083 Name97702 7.88
Surname10084 Name97593 6.21
Surname10087 Name33814 5.5
Surname10087 Name38195 7.89
Surname10089 Name97587 7.7
Surname10090 Name84480 5.15
Surname10093 Name84622 6.4
Surname10094 Name7993 6.7
Surname10095 Name37726 5.85
Surname10097 Name10142 5.34
Surname1010 Name28271 6.61
Surname1010 Name46831 7.1
Surname1010 Name93221 6.7
Surname10100 Name51305 5.91
Surname10104 Name74373 8.36
Surname10104 Name72264 5.85
Surname10106 Name79294 6.03
Surname10112 Name97113 7.43
Surname10112 Name71772 6.16
Surname10113 Name14455 7.58
Surname10113 Name29383 7.1
Surname10113 Name51719 7.92
Surname10114 Name58251 6.65
Surname1012 Name55661 7.76
Surname10121 Name819 7.38
Surname10125 Name98340 5.87
Surname10126 Name98641 5.3
Surname10127 Name92412 6
Surname10129 Name68049 8.1
Surname10129 Name39200 5.88
Surname10132 Name82660 5.75
Surname1014 Name67514 6.67
Surname10140 Name56997 7.76
Surname10142 Name30728 6.22
Surname10144 Name47506 6.17
Surname10144 Name61270 7.3
Surname10146 Name33509 7.22
Surname10147 Name72547 5.76
Surname10147 Name66179 7.7
Surname10149 Name12001 6.4
Surname1015 Name29425 7.73
Surname10152 Name34166 7.5
Surname10155 Name39360 8.1
Surname10160 Name19255 7.5
Surname10161 Name2469 7.25
Surname10163 Name59833 7.25
Surname10163 Name91154 7.58
Surname10164 Name34736 6.55
Surname10168 Name30919 6.3
Surname10169 Name86268 7.3
Surname10170 Name54963 6.5
Surname10171 Name50662 6.44
Surname10172 Name43658 5.55
Surname10176 Name87531 6.8
Surname10176 Name23375 7.33
Surname10177 Name8898 7.7
Surname10180 Name6914 7.04
Surname10182 Name91543 6.14
Surname10182 Name44589 8.31
Surname10183 Name31416 6.31
Surname10183 Name9882 6.4
Surname10187 Name66425 6.25
Surname10187 Name69485 8.7
Surname10191 Name25625 6.95
Surname10191 Name21196 5.55
Surname10195 Name91807 6
Surname10198 Name11528 8.04
Surname10199 Name37967 6.1
Surname1020 Name87313 6.85
Surname10201 Name62678 5.12
Surname10203 Name61158 5.12
Surname10204 Name79640 6.98
Surname10204 Name1380 5.26
Surname10204 Name42974 5.17
Surname10206 Name68726 7.18
Surname1021 Name5154 7.5
Surname10210 Name16809 5.49
Surname10212 Name17950 7.5
Surname10214 Name93184 7.93
Surname10226 Name54540 6.43
Surname10228 Name41124 6.55
Surname10231 Name1144 7.47
Surname10231 Name11727 6.85
Surname10231 Name59320 6.74
Surname10233 Name35005 7.81
Surname10234 Name58581 5.21
Surname10236 Name23395 8.1
Surname10240 Name40865 7.59
Surname10240 Name83842 6.99
Surname10242 Name37527 7.84
Surname10244 Name89828 5.53
Surname10245 Name89427 7.88
Surname10247 Name64705 6.19
Surname10249 Name21700 6.52
Surname10253 Name54750 5.15
Surname10256 Name33313 6.93
Surname10257 Name94214 7.29
Surname10259 Name10364 5.33
Surname1026 Name13881 7.45
Surname10263 Name6431 5.07
Surname10264 Name78243 7.01
Surname10264 Name84152 7.68
Surname10265 Name90730 7.1
Surname10266 Name61588 6.1
Surname10269 Name19008 7.65
Surname1027 Name14621 5.15
Surname10270 Name67077 5.95
Surname10270 Name58984 7.35
Surname10271 Name47572 6.66
Surname10271 Name7357 7.62
Surname10272 Name48407 5.06
Surname10274 Name91104 6.1
Surname10275 Name57508 7.04
Surname10276 Name8317 7.52
Surname1028 Name47808 5.37
Surname10280 Name93153 5.75
Surname10281 Name35814 7.63
Surname10282 Name34808 7.14
Surname10285 Name79159 6.66
Surname10292 Name45370 8.17
Surname10294 Name97022 5.8
Surname10296 Name8288 7.16
Surname10297 Name76567 7
Surname10297 Name60130 7.1
Surname10299 Name10441 7.38
Surname10301 Name23520 6.12
Surname10302 Name663 6.18
Surname10302 Name54978 7.55
Surname10304 Name67041 6.4
Surname10305 Name93709 5.87
Surname10307 Name8204 7.3
Surname10308 Name22936 7.53
Surname10309 Name46596 6.1
Surname10310 Name5346 5
Surname10312 Name91221 5.18
Surname10314 Name30692 6.27
Surname10317 Name84167 6.67
Surname10317 Name79549 7.8
Surname10322 Name12740 5.47
Surname10322 Name77869 6.88
Surname10329 Name61098 5.93
Surname1033 Name56544 7.53
Surname10330 Name51323 6.58
Surname10334 Name77161 7
Surname10336 Name22666 5.4
Surname1034 Name76569 7.73
Surname10341 Name57100 6.2
Surname10343 Name78105 6.55
Surname10343 Name35109 7.85
Surname10346 Name80197 5.79
Surname1035 Name2332 7.85
Surname10351 Name3003 6.13
Surname10352 Name58068 6
Surname10353 Name70102 6.78
Surname10353 Name54579 5.1
Surname10355 Name37867 7.25
Surname10357 Name34281 7.75
Surname10361 Name72959 6.52
Surname10361 Name68767 5.68
Surname10362 Name92698 6.55
Surname10365 Name49982 5.51
Surname10367 Name56037 6.5
Surname10370 Name12559 5.6
Surname10377 Name40202 7.86
Surname10377 Name22410 6.95
Surname10380 Name82540 7.45
Surname10383 Name66291 5.9
Surname10384 Name77751 6.61
Surname10384 Name62471 6.8
Surname10385 Name22208 7.13
Surname10386 Name63672 7.33
Surname10390 Name49648 6.25
Surname10390 Name58217 7.71
Surname10392 Name73454 6.13
Surname10395 Name80992 7.8
Surname10397 Name58932 6.7
Surname10397 Name56069 6.8
Surname10399 Name64774 6.52
Surname10399 Name99886 5.1
Surname10400 Name53575 6.12
Surname10400 Name78015 5.3
Surname10406 Name72104 7.28
Surname10408 Name953 7.22
Surname1041 Name91847 6.85
Surname10411 Name37821 6.93
Surname10412 Name11345 6.48
Surname10412 Name21278 5.44
Surname10414 Name81406 6.58
Surname10414 Name84661 6.1
Surname10415 Name36803 6.86
Surname10416 Name91353 8.34
Surname1042 Name22135 6.71
Surname10424 Name58310 7.6
Surname10426 Name52805 8
Surname1043 Name90215 6.4
Surname1043 Name46251 7.4
Surname10433 Name98245 5.5
Surname10434 Name75550 5.09
Surname10435 Name52668 7.4
Surname10435 Name88389 6.3
Surname10437 Name45018 6.11
Surname10440 Name78584 8.21
Surname10441 Name58452 7.58
Surname10442 Name93656 5.84
Surname10442 Name41017 5.18
Surname10442 Name68899 7.07
Surname10443 Name26863 7.61
Surname10446 Name1255 6.03
Surname10446 Name18284 5.53
Surname1045 Name37236 6
Surname10451 Name47059 5.4
Surname10451 Name96202 6.1
Surname10453 Name7968 6.2
Surname10454 Name81828 5.9
Surname10455 Name80543 7.86
Surname10455 Name38436 6.14
Surname10456 Name10784 5.2
Surname10469 Name32202 5.96
Surname10470 Name29195 6.23
Surname10472 Name91103 6.6
Surname10478 Name12383 6.55
Surname10480 Name76218 7.87
Surname10482 Name83780 6.15
Surname10482 Name67348 8.7
Surname10484 Name81798 7.59
Surname10489 Name88699 7.46
Surname1049 Name17408 6
Surname10495 Name75457 7.3
Surname10503 Name43935 5.6
Surname10505 Name74604 7
Surname10505 Name42647 8.23
Surname10506 Name53834 7.9
Surname10507 Name14715 5.14
Surname10507 Name12593 6.69
Surname10512 Name2778 6.73
Surname10512 Name37670 5
Surname10513 Name15518 5.93
Surname10513 Name85961 7.93
Surname10514 Name37603 7.4
Surname10517 Name75158 5.8
Surname10518 Name70242 6.85
Surname10518 Name93164 5.73
Surname1052 Name14951 5.22
Surname10520 Name77936 5.15
Surname10520 Name76126 7.7
Surname10525 Name21219 5
Surname10529 Name26220 6.13
Surname1053 Name37392 7.33
Surname10532 Name15378 5.18
Surname10532 Name55269 6.64
Surname10532 Name64973 5.03
Surname10535 Name33961 6.64
Surname10536 Name15211 5.74
Surname10537 Name53795 7.3
Surname10538 Name38743 6.1
Surname10539 Name43844 6.1
Surname10539 Name20634 6.58
Surname10543 Name10900 5.38
Surname10545 Name15521 6.58
Surname10546 Name18065 7.06
Surname10550 Name78736 5
Surname10551 Name81513 7.88
Surname10558 Name60263 8
Surname10559 Name73044 6.1
Surname1056 Name52787 7.41
Surname10560 Name33701 5.06
Surname10563 Name49001 7.4
Surname10563 Name17524 6.7
Surname10564 Name3903 7.5
Surname10569 Name54996 5.3
Surname10571 Name62990 5.24
Surname10577 Name26268 6.83
Surname10581 Name98441 6.85
Surname10587 Name6286 5.78
Surname10588 Name8736 6.3
Surname1059 Name31389 7.76
Surname10590 Name69801 5.27
Surname10591 Name8675 6
Surname10591 Name21523 6.03
Surname10595 Name52286 6.83
Surname10599 Name68896 5.59
Surname106 Name27299 6.04
Surname1060 Name25378 6.1
Surname10605 Name23296 7.92
Surname10606 Name38794 6.53
Surname10608 Name16622 6.18
Surname1061 Name7902 5.74
Surname10611 Name68850 5.29
Surname10615 Name12779 6.28
Surname1062 Name71525 5.25
Surname1062 Name4341 6.74
Surname10624 Name92669 7.74
Surname10625 Name78324 7.4
Surname10625 Name33114 5.96
Surname10626 Name8756 7.25
Surname10628 Name20073 6.18
Surname1063 Name76660 5.4
Surname10630 Name89769 6.53
Surname10631 Name64834 7.92
Surname10633 Name99473 6.6
Surname10634 Name22178 7.77
Surname10635 Name6733 6.38
Surname10637 Name72260 7.76
Surname10637 Name33821 8.1
Surname10637 Name78249 7.5
Surname10638 Name83089 6.32
Surname1064 Name18306 7.3
Surname10643 Name95134 6.84
Surname10644 Name53548 6.31
Surname10645 Name84261 6
Surname10649 Name72813 8.18
Surname1065 Name9650 6.3
Surname1065 Name7314 5.8
Surname10650 Name26834 7.1
Surname10650 Name57142 6.5
Surname10650 Name21063 8.1
Surname10650 Name58825 7.95
Surname10655 Name62412 6.8
Surname10655 Name50384 5.23
Surname10660 Name42186 5.23
Surname10660 Name15079 7.85
Surname10661 Name51797 6.6
Surname10662 Name19509 6.4
Surname10662 Name56138 6.25
Surname10663 Name97389 5.36
Surname10663 Name49018 6.97
Surname10665 Name91518 5.4
Surname10668 Name21274 6.4
Surname10673 Name14367 6.3
Surname10686 Name35414 5.13
Surname10688 Name70743 6.36
Surname10689 Name61438 6.22
Surname10691 Name19718 6.43
Surname10694 Name91254 6.61
Surname10697 Name18330 6.35
Surname10699 Name8796 5.15
Surname107 Name98853 5.08
Surname1070 Name50882 7.33
Surname10700 Name4903 5.4
Surname10703 Name62706 7.3
Surname10704 Name96581 5.53
Surname10705 Name74529 6.5
Surname10708 Name33039 6.95
Surname10713 Name81469 6.35
Surname10715 Name70859 5.06
Surname10716 Name37861 6.12
Surname10720 Name18433 5.95
Surname10720 Name80907 8.01
Surname10722 Name34230 5.2
Surname10727 Name71414 6.4
Surname10728 Name98580 5.4
Surname10728 Name67375 7.31
Surname1073 Name52086 7.45
Surname10732 Name98827 7.99
Surname10734 Name30055 5.93
Surname10734 Name54609 5.03
Surname10737 Name61248 5.61
Surname10737 Name87954 7.25
Surname10737 Name870 6.06
Surname10737 Name25900 7.2
Surname1074 Name83206 6.12
Surname10741 Name341 7.65
Surname10741 Name75638 5.58
Surname10743 Name99048 7.4
Surname10744 Name91507 7.7
Surname10745 Name46509 6.93
Surname10745 Name40201 7.5
Surname10750 Name39663 6.67
Surname10750 Name99919 6.34
Surname10755 Name76065 5.85
Surname10755 Name99614 7.44
Surname10756 Name88714 6.3
Surname10757 Name95075 6.23
Surname10758 Name90930 8.14
Surname1076 Name84395 5.8
Surname10762 Name86782 5.76
Surname10763 Name37504 8.25
Surname10763 Name68678 7.84
Surname10763 Name34796 7.61
Surname10763 Name94955 6.25
Surname10764 Name81457 6.74
Surname10767 Name45139 5.6
Surname1077 Name22853 5.4
Surname10774 Name28673 6.1
Surname10777 Name72742 7.53
Surname10778 Name87435 7.62
Surname1078 Name95941 6.35
Surname10780 Name76519 6.89
Surname1079 Name65392 8.25
Surname10790 Name99598 5.23
Surname10792 Name56749 5
Surname10793 Name31122 7.36
Surname10796 Name87012 6.05
Surname10799 Name71335 7.68
Surname1080 Name30450 6.5
Surname10805 Name80836 6
Surname10808 Name38187 7.07
Surname1081 Name88384 7.1
Surname10812 Name70551 6.89
Surname10816 Name57216 6.17
