SURNAME NAME FINAL_POINTS 
Name4245 Surname2277 2.98
Name4961 Surname2274 6.31
Name2461 Surname2459 4.6
Name5045 Surname1553 3.75
Name1025 Surname8747 5.44
Name1793 Surname7496 3.86
Name7425 Surname9916 6.15
Name4108 Surname6636 5.1
Name1945 Surname1540 5.73
Name6501 Surname4359 2.38
Name9220 Surname7697 6.7
Name1418 Surname4721 2.77
Name5580 Surname7856 7.85
Name5527 Surname2215 5.97
Name3224 Surname1301 4.6
Name6344 Surname9344 8.1
Name4872 Surname3469 2.87
Name51 Surname6666 6.7
Name7802 Surname6159 2.75
Name2669 Surname558 6.23
Name1846 Surname8537 2.38
Name2157 Surname989 7.03
Name1460 Surname3760 3.48
Name8582 Surname3285 3.8
Name3052 Surname2916 4.48
Name9900 Surname9676 7.28
Name1932 Surname9834 4.6
Name6129 Surname9290 2.03
Name2799 Surname4795 3.83
Name1916 Surname2422 6.75
Name6301 Surname9357 4.8
Name1956 Surname4665 2.7
Name9713 Surname1675 4.09
Name4177 Surname6495 7.87
Name8017 Surname3610 1.87
Name4167 Surname8538 5
Name4588 Surname4769 5.25
Name1446 Surname8132 6.98
Name8959 Surname6137 2.3
Name1804 Surname7515 2.55
Name4050 Surname7085 3.45
Name9044 Surname1335 5.46
Name6604 Surname8447 5.15
Name9725 Surname8007 6.9
Name1657 Surname8328 4.55
Name8560 Surname2570 6.73
Name164 Surname9524 7.1
Name5314 Surname3677 1.9
Name5466 Surname851 2.14
Name1462 Surname734 4.45
Name7414 Surname3198 6.4
Name3501 Surname3367 2.6
Name2996 Surname4891 2.69
Name4151 Surname5892 7.76
Name6913 Surname6959 6.04
Name4893 Surname5475 7.93
Name9203 Surname5773 7.56
Name9856 Surname3724 1.79
Name3838 Surname7722 1.84
Name1139 Surname7610 2.09
Name226 Surname7487 5.1
Name3949 Surname1492 3.75
Name5625 Surname6533 2.66
Name517 Surname7627 4.3
Name234 Surname1246 3.1
Name1891 Surname6380 4.6
Name1547 Surname8770 6.76
Name3607 Surname8819 3.9
Name9069 Surname8595 6.05
Name4713 Surname9918 3.2
Name1463 Surname4354 2.94
Name6321 Surname4597 3.8
Name311 Surname6733 2.6
Name6645 Surname6755 7.68
Name2240 Surname9538 8.05
Name2631 Surname4632 4.09
Name9640 Surname9675 3.5
Name3577 Surname5188 5
Name8467 Surname7516 4.34
Name8585 Surname7925 6.4
Name4611 Surname6860 4.74
Name3607 Surname8519 1.99
Name5081 Surname8420 6.18
Name2144 Surname7688 7.25
Name8129 Surname567 8.7
Name5334 Surname9479 3.15
Name1392 Surname3827 2.8
Name6203 Surname298 7.58
Name7492 Surname4142 7.54
Name7457 Surname6217 4.39
Name2906 Surname741 5.9
Name2687 Surname8958 5.9
Name841 Surname5132 6.27
Name4107 Surname1235 2.1
Name879 Surname4946 8.4
Name250 Surname4925 4.2
Name7774 Surname2293 7.25
Name3683 Surname2721 5.04
Name2535 Surname7228 3.26
Name784 Surname4973 6.55
Name9017 Surname8282 4.13
Name1779 Surname1214 7.58
Name3971 Surname4679 3.25
Name1535 Surname9451 7.04
Name689 Surname5603 2.45
Name1618 Surname29 3.07
Name7505 Surname4026 5.52
Name5050 Surname5068 4.85
Name6014 Surname567 4.1
Name7741 Surname5993 2.5
Name2136 Surname2034 7.26
Name1137 Surname5333 3.05
Name4911 Surname6105 6.75
Name50 Surname1088 7.95
Name555 Surname3325 8.1
Name9989 Surname5671 4.13
Name4470 Surname7162 7.84
Name7966 Surname8452 7.86
Name1356 Surname6420 5.57
Name4541 Surname2636 7
Name1704 Surname1536 6.31
Name9925 Surname267 3.25
Name4080 Surname8432 1.83
Name8001 Surname9819 7.5
Name7184 Surname9649 2.88
Name835 Surname1136 5.08
Name5884 Surname9128 7.93
Name6828 Surname6182 6.28
Name9532 Surname7870 2.8
Name6715 Surname1828 4.88
Name362 Surname9569 5.2
Name4128 Surname7844 8.04
Name4673 Surname1853 3.85
Name3837 Surname6117 2.54
Name6969 Surname4490 5.6
Name8460 Surname1435 6.1
Name6015 Surname9777 7.8
Name8762 Surname8262 2.55
Name6162 Surname2748 7.91
Name549 Surname9338 3.98
Name7959 Surname8610 2.67
Name9394 Surname5406 2.56
Name9096 Surname7713 6.7
Name4691 Surname5452 7.4
Name1154 Surname3932 6.83
Name922 Surname3548 7.2
Name2603 Surname166 4.66
Name5373 Surname437 3.35
Name3209 Surname879 4.17
Name4844 Surname7593 7.75
Name4159 Surname972 5.66
Name3305 Surname5307 2.6
Name887 Surname3008 4.75
Name2789 Surname9050 3.87
Name6815 Surname9987 4.45
Name6707 Surname5456 7.3
Name7280 Surname8214 3.53
Name8663 Surname2761 4.54
Name3234 Surname2326 7.5
Name4266 Surname3360 3
Name529 Surname7385 4.2
Name9767 Surname8152 3.56
Name1600 Surname5535 6.95
Name7583 Surname2016 5.79
Name726 Surname7731 7.65
Name4101 Surname3678 2.3
Name5887 Surname41 8.4
Name9584 Surname4733 2.7
Name8976 Surname8241 3
Name1847 Surname2220 5.6
Name4061 Surname2767 6.83
Name2278 Surname9808 2.83
Name782 Surname3226 7.4
Name7734 Surname1195 2.35
Name3594 Surname5475 4.88
Name3499 Surname759 4.05
Name8404 Surname7580 6.67
Name4351 Surname4861 7.65
Name3590 Surname7817 2.27
Name6218 Surname8994 2.63
Name7570 Surname5714 5.6
Name1287 Surname7280 2.03
Name5902 Surname6146 3.8
Name8731 Surname1706 4.48
Name2327 Surname9188 4.96
Name7722 Surname7866 6.23
Name3810 Surname3347 7.88
Name2173 Surname3818 7.44
Name5774 Surname2205 3.56
Name106 Surname6633 5.23
Name9295 Surname3534 6.09
Name2444 Surname2072 5.48
Name2066 Surname7185 6.27
Name2280 Surname1708 7.1
Name5058 Surname9041 7.3
Name4494 Surname8986 6.18
Name3596 Surname7352 2.1
Name4534 Surname4612 4.35
Name4520 Surname470 6.1
Name7301 Surname2918 3.23
Name3293 Surname8581 6.57
Name2946 Surname7048 6.46
Name9974 Surname8515 3.93
Name1029 Surname4080 7.4
Name7771 Surname5952 2.1
Name3307 Surname8412 2.94
Name7203 Surname8235 2.38
Name8737 Surname3693 4.75
Name5397 Surname5336 3.9
Name336 Surname6671 2.54
Name6613 Surname1736 3
Name5403 Surname4742 7.46
Name4938 Surname1593 7.15
Name1954 Surname6923 5.1
Name8270 Surname2937 7.05
Name4360 Surname2088 5.5
Name3170 Surname6222 6.33
Name3408 Surname3934 5.35
Name22 Surname922 3.3
Name5624 Surname6986 8.04
Name9617 Surname3191 8.28
Name3520 Surname67 7.73
Name9301 Surname4734 7.95
Name9496 Surname6641 6.95
Name781 Surname1305 5.05
Name5347 Surname6062 5.23
Name8202 Surname8385 4.88
Name4960 Surname4858 3.3
Name8192 Surname9641 5.15
Name6495 Surname3770 4.3
Name3737 Surname3851 7.51
Name8936 Surname4178 2.51
Name259 Surname4971 3.25
